Name,Race,Year,Gender,Age,Finish,Age Bracket
Sample Runner 00152,Alaska Series - Day 1,2023,M,75,24802,75-79
Sample Runner 00153,Alaska Series - Day 1,2023,M,45,13250,45-49
Sample Runner 00154,Alaska Series - Day 1,2023,F,60,17584,60-64
Sample Runner 00155,Alaska Series - Day 1,2023,F,-1,29806,Unknown
Sample Runner 00156,Alaska Series - Day 1,2023,F,57,25176,55-59
Sample Runner 00157,Alaska Series - Day 1,2023,M,-1,30471,Unknown
Sample Runner 00158,Alaska Series - Day 1,2023,M,56,24419,55-59
Sample Runner 00159,Alaska Series - Day 2,2023,M,73,31776,70-74
Sample Runner 00160,Alaska Series - Day 2,2023,F,-1,30124,Unknown
Sample Runner 00161,Alaska Series - Day 2,2023,M,56,25988,55-59
Sample Runner 00162,Alaska Series - Day 2,2023,M,65,27971,65-69
Sample Runner 00163,Alaska Series - Day 2,2023,M,-1,30124,Unknown
Sample Runner 00164,Alaska Series - Day 2,2023,M,73,29075,70-74
Sample Runner 00165,Alaska Series - Day 2,2023,M,63,27032,60-64
Sample Runner 00166,Alaska Series - Day 2,2023,M,81,35367,80 and Over
Sample Runner 00167,Alaska Series - Day 2,2023,M,63,21475,60-64
Sample Runner 00168,Alaska Series - Day 2,2023,M,70,26003,70-74
Sample Runner 00169,Alaska Series - Day 2,2023,M,71,30124,70-74
Sample Runner 00170,Alaska Series - Day 2,2023,M,75,24239,75-79
Sample Runner 00171,Alaska Series - Day 2,2023,F,57,25987,55-59
Sample Runner 00172,Alaska Series - Day 3,2023,M,63,22495,60-64
Sample Runner 00173,Alaska Series - Day 3,2023,F,-1,24864,Unknown
Sample Runner 00174,Alaska Series - Day 3,2023,F,57,21195,55-59
Sample Runner 00175,Alaska Series - Day 3,2023,M,61,29194,60-64
Sample Runner 00176,Alaska Series - Day 3,2023,F,78,31698,75-79
Sample Runner 00177,Alaska Series - Day 3,2023,M,76,28865,75-79
Sample Runner 00178,Alaska Series - Day 3,2023,F,49,25128,45-49
Sample Runner 00179,Alaska Series - Day 3,2023,F,-1,29698,Unknown
Sample Runner 00180,Alaska Series - Day 3,2023,M,-1,30252,Unknown
Sample Runner 00181,Alaska Series - Day 3,2023,M,46,29702,45-49
Sample Runner 00182,Alaska Series - Day 3,2023,M,69,23328,65-69
Sample Runner 00183,Alaska Series - Day 3,2023,F,-1,18230,Unknown
Sample Runner 00184,Alaska Series - Day 3,2023,F,-1,30252,Unknown
Sample Runner 00185,Alaska Series - Day 3,2023,F,-1,19835,Unknown
Sample Runner 00186,Alaska Series - Day 3,2023,M,73,29413,70-74
Sample Runner 00187,Alaska Series - Day 3,2023,M,75,25128,75-79
Sample Runner 00188,Alaska Series - Day 3,2023,M,71,22115,70-74
Sample Runner 00189,Alaska Series - Day 3,2023,M,71,29668,70-74
Sample Runner 00190,Alaska Series - Day 3,2023,F,53,20163,50-54
Sample Runner 00191,Alaska Series - Day 3,2023,M,56,19452,55-59
Sample Runner 00192,Alaska Series - Day 4,2023,M,75,28294,75-79
Sample Runner 00193,Alaska Series - Day 4,2023,F,-1,36842,Unknown
Sample Runner 00194,Alaska Series - Day 4,2023,M,-1,16603,Unknown
Sample Runner 00195,Alaska Series - Day 4,2023,M,75,25154,75-79
Sample Runner 00196,Alaska Series - Day 4,2023,M,81,29997,80 and Over
Sample Runner 00197,Alaska Series - Day 4,2023,F,-1,29419,Unknown
Sample Runner 00198,Alaska Series - Day 4,2023,M,-1,29419,Unknown
Sample Runner 00199,Alaska Series - Day 4,2023,M,65,32196,65-69
Sample Runner 00200,Alaska Series - Day 4,2023,M,73,30114,70-74
Sample Runner 00201,Alaska Series - Day 4,2023,F,60,17685,60-64
Sample Runner 00202,Alaska Series - Day 4,2023,M,71,29660,70-74
Sample Runner 00203,Alaska Series - Day 4,2023,M,69,23249,65-69
Sample Runner 00204,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,66,17072,65-69
Sample Runner 00205,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,45,13066,45-49
Sample Runner 00206,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,59,13897,55-59
Sample Runner 00207,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,29,14882,Under 35
Sample Runner 00208,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,61,17812,60-64
Sample Runner 00209,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,F,43,14644,40-44
Sample Runner 00210,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,59,15753,55-59
Sample Runner 00211,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,F,31,18567,Under 35
Sample Runner 00212,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,F,43,14311,40-44
Sample Runner 00213,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,31,25735,Under 35
Sample Runner 00214,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,32,16540,Under 35
Sample Runner 00215,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,57,11288,55-59
Sample Runner 00216,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,21,23444,Under 35
Sample Runner 00217,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,38,16011,35-39
Sample Runner 00218,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,53,16944,50-54
Sample Runner 00219,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,35,14937,35-39
Sample Runner 00220,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,45,13600,45-49
Sample Runner 00221,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,F,56,19788,55-59
Sample Runner 00222,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,39,15417,35-39
Sample Runner 00223,Albany Marathon (formerly the Snickers Marathon Energy Bar Marathon),2023,M,42,14544,40-44
Sample Runner 00224,Aloha Series - Day 1,2023,F,55,19018,55-59
Sample Runner 00225,Aloha Series - Day 1,2023,M,73,24998,70-74
Sample Runner 00226,Aloha Series - Day 1,2023,F,66,27327,65-69
Sample Runner 00227,Aloha Series - Day 1,2023,F,68,23907,65-69
Sample Runner 00228,Aloha Series - Day 1,2023,F,53,19018,50-54
Sample Runner 00229,Aloha Series - Day 1,2023,F,40,15101,40-44
Sample Runner 00230,Aloha Series - Day 1,2023,F,52,26452,50-54
Sample Runner 00231,Aloha Series - Day 1,2023,F,59,27327,55-59
Sample Runner 00232,Aloha Series - Day 1,2023,M,61,29630,60-64
Sample Runner 00233,Aloha Series - Day 1,2023,M,67,31295,65-69
Sample Runner 00234,Aloha Series - Day 1,2023,M,62,21006,60-64
Sample Runner 00235,Aloha Series - Day 1,2023,M,68,24135,65-69
Sample Runner 00236,Aloha Series - Day 1,2023,M,73,31055,70-74
Sample Runner 00237,Aloha Series - Day 1,2023,M,46,33208,45-49
Sample Runner 00238,Aloha Series - Day 1,2023,M,72,17159,70-74
Sample Runner 00239,Aloha Series - Day 1,2023,M,36,13920,35-39
Sample Runner 00240,Aloha Series - Day 1,2023,F,62,31295,60-64
Sample Runner 00241,Aloha Series - Day 1,2023,M,81,29858,80 and Over
Sample Runner 00242,Aloha Series - Day 1,2023,M,59,25484,55-59
Sample Runner 00243,Aloha Series - Day 1,2023,F,21,16504,Under 35
Sample Runner 00244,Aloha Series - Day 2,2023,M,67,27837,65-69
Sample Runner 00245,Aloha Series - Day 2,2023,F,-1,20963,Unknown
Sample Runner 00246,Aloha Series - Day 2,2023,F,21,19021,Under 35
Sample Runner 00247,Aloha Series - Day 2,2023,M,46,31972,45-49
Sample Runner 00248,Aloha Series - Day 2,2023,M,41,25678,40-44
Sample Runner 00249,Aloha Series - Day 2,2023,M,81,26413,80 and Over
Sample Runner 00250,Aloha Series - Day 2,2023,M,73,30001,70-74
Sample Runner 00251,Aloha Series - Day 2,2023,M,73,25295,70-74
Sample Runner 00252,Aloha Series - Day 2,2023,M,62,22057,60-64
Sample Runner 00253,Aloha Series - Day 2,2023,M,56,18874,55-59
Sample Runner 00254,Aloha Series - Day 2,2023,M,53,22027,50-54
Sample Runner 00255,Aloha Series - Day 2,2023,F,59,26863,55-59
Sample Runner 00256,Aloha Series - Day 2,2023,M,44,14641,40-44
Sample Runner 00257,Aloha Series - Day 2,2023,M,58,25648,55-59
Sample Runner 00258,Aloha Series - Day 2,2023,F,66,26863,65-69
Sample Runner 00259,Aloha Series - Day 2,2023,M,51,28309,50-54
Sample Runner 00260,Aloha Series - Day 2,2023,F,-1,24072,Unknown
Sample Runner 00261,Aloha Series - Day 3,2023,M,75,29405,75-79
Sample Runner 00262,Aloha Series - Day 3,2023,M,56,19635,55-59
Sample Runner 00263,Aloha Series - Day 3,2023,F,62,33247,60-64
Sample Runner 00264,Aloha Series - Day 3,2023,M,46,31400,45-49
Sample Runner 00265,Aloha Series - Day 3,2023,M,67,33247,65-69
Sample Runner 00266,Aloha Series - Day 3,2023,M,55,22369,55-59
Sample Runner 00267,Aloha Series - Day 3,2023,M,53,24023,50-54
Sample Runner 00268,Aloha Series - Day 3,2023,M,55,28106,55-59
Sample Runner 00269,Aloha Series - Day 3,2023,M,73,29788,70-74
Sample Runner 00270,Aloha Series - Day 3,2023,F,59,28723,55-59
Sample Runner 00271,Aloha Series - Day 3,2023,F,66,28723,65-69
Sample Runner 00272,Aloha Series - Day 3,2023,F,65,27864,65-69
Sample Runner 00273,Aloha Series - Day 3,2023,M,67,22369,65-69
Sample Runner 00274,Aloha Series - Day 3,2023,M,73,27571,70-74
Sample Runner 00275,Aloha Series - Day 3,2023,F,21,18928,Under 35
Sample Runner 00276,Aloha Series - Day 3,2023,M,81,29788,80 and Over
Sample Runner 00277,Aloha Series - Day 3,2023,M,62,25974,60-64
Sample Runner 00278,Aloha Series - Day 3,2023,M,69,33247,65-69
Sample Runner 00279,Aloha Series - Day 4,2023,M,82,31041,80 and Over
Sample Runner 00280,Aloha Series - Day 4,2023,F,78,28978,75-79
Sample Runner 00281,Aloha Series - Day 4,2023,F,54,25577,50-54
Sample Runner 00282,Aloha Series - Day 4,2023,M,56,20797,55-59
Sample Runner 00283,Aloha Series - Day 4,2023,F,59,27281,55-59
Sample Runner 00284,Aloha Series - Day 4,2023,M,53,25226,50-54
Sample Runner 00285,Aloha Series - Day 4,2023,F,21,24735,Under 35
Sample Runner 00286,Aloha Series - Day 4,2023,M,81,29197,80 and Over
Sample Runner 00287,Aloha Series - Day 4,2023,F,66,27281,65-69
Sample Runner 00288,Aloha Series - Day 4,2023,F,55,26916,55-59
Sample Runner 00289,Aloha Series - Day 4,2023,M,67,29865,65-69
Sample Runner 00290,Aloha Series - Day 4,2023,M,46,31645,45-49
Sample Runner 00291,Aloha Series - Day 4,2023,F,47,23962,45-49
Sample Runner 00292,Aloha Series - Day 4,2023,M,68,25052,65-69
Sample Runner 00293,Aloha Series - Day 4,2023,F,49,20023,45-49
Sample Runner 00294,Aloha Series - Day 4,2023,M,62,25177,60-64
Sample Runner 00295,Aloha Series - Day 4,2023,M,73,32149,70-74
Sample Runner 00296,American Birkebeiner Trail Run,2023,F,29,16021,Under 35
Sample Runner 00297,American Birkebeiner Trail Run,2023,F,35,22624,35-39
Sample Runner 00298,American Birkebeiner Trail Run,2023,M,43,20646,40-44
Sample Runner 00299,American Birkebeiner Trail Run,2023,M,28,18612,Under 35
Sample Runner 00300,American Birkebeiner Trail Run,2023,M,57,21017,55-59
Sample Runner 00301,American Birkebeiner Trail Run,2023,F,42,20472,40-44
Sample Runner 00302,American Birkebeiner Trail Run,2023,F,33,19239,Under 35
Sample Runner 00303,American Birkebeiner Trail Run,2023,F,49,24561,45-49
Sample Runner 00304,American Birkebeiner Trail Run,2023,M,48,24561,45-49
Sample Runner 00305,American Birkebeiner Trail Run,2023,F,48,16565,45-49
Sample Runner 00306,American Birkebeiner Trail Run,2023,F,40,24214,40-44
Sample Runner 00307,American Birkebeiner Trail Run,2023,M,34,16941,Under 35
Sample Runner 00308,American Birkebeiner Trail Run,2023,M,54,19664,50-54
Sample Runner 00309,American Birkebeiner Trail Run,2023,M,42,22654,40-44
Sample Runner 00310,American Birkebeiner Trail Run,2023,M,26,12451,Under 35
Sample Runner 00311,American Birkebeiner Trail Run,2023,F,43,17350,40-44
Sample Runner 00312,American Birkebeiner Trail Run,2023,M,31,16587,Under 35
Sample Runner 00313,American Birkebeiner Trail Run,2023,F,40,21758,40-44
Sample Runner 00314,American Birkebeiner Trail Run,2023,M,28,17776,Under 35
Sample Runner 00315,American Birkebeiner Trail Run,2023,M,35,19288,35-39
Sample Runner 00316,American Heroes Run,2023,M,15,25103,Under 35
Sample Runner 00317,American Heroes Run,2023,F,61,61600,60-64
Sample Runner 00318,American Heroes Run,2023,F,69,24164,65-69
Sample Runner 00319,American Heroes Run,2023,M,58,13792,55-59
Sample Runner 00320,American Heroes Run,2023,M,57,24172,55-59
Sample Runner 00321,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,44,20117,40-44
Sample Runner 00322,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,59,15714,55-59
Sample Runner 00323,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,64,17937,60-64
Sample Runner 00324,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,29,15302,Under 35
Sample Runner 00325,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,29,17916,Under 35
Sample Runner 00326,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,49,17020,45-49
Sample Runner 00327,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,49,22563,45-49
Sample Runner 00328,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,39,14366,35-39
Sample Runner 00329,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,39,18879,35-39
Sample Runner 00330,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,39,21804,35-39
Sample Runner 00331,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,24,15742,Under 35
Sample Runner 00332,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,49,18373,45-49
Sample Runner 00333,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,29,18443,Under 35
Sample Runner 00334,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,59,15619,55-59
Sample Runner 00335,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,19,20462,Under 35
Sample Runner 00336,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,69,20725,65-69
Sample Runner 00337,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,29,13361,Under 35
Sample Runner 00338,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,34,12090,Under 35
Sample Runner 00339,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,F,64,17696,60-64
Sample Runner 00340,Anchorage Runfest Humpy's Marathon (prev. Big Wild Life Runs Marathon),2023,M,49,16102,45-49
Sample Runner 00341,Andrew Jackson Marathon,2023,M,32,18471,Under 35
Sample Runner 00342,Andrew Jackson Marathon,2023,F,59,17794,55-59
Sample Runner 00343,Andrew Jackson Marathon,2023,F,29,20293,Under 35
Sample Runner 00344,Andrew Jackson Marathon,2023,M,39,15741,35-39
Sample Runner 00345,Andrew Jackson Marathon,2023,F,35,14174,35-39
Sample Runner 00346,Andrew Jackson Marathon,2023,F,47,13359,45-49
Sample Runner 00347,Andrew Jackson Marathon,2023,F,44,16123,40-44
Sample Runner 00348,Andrew Jackson Marathon,2023,M,32,14633,Under 35
Sample Runner 00349,Andrew Jackson Marathon,2023,F,56,17575,55-59
Sample Runner 00350,Andrew Jackson Marathon,2023,M,40,12536,40-44
Sample Runner 00351,Andrew Jackson Marathon,2023,F,53,21977,50-54
Sample Runner 00352,Andrew Jackson Marathon,2023,F,36,20709,35-39
Sample Runner 00353,Andrew Jackson Marathon,2023,F,27,18653,Under 35
